REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540077020C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,96 MM + KIT JUNTAS PARTE SUPERIOR MC 125 2021-2023;622;ATEN;KP+JA;71,33087934;176,1436;8053300717613;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540077020D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,97 MM + KIT JUNTAS PARTE SUPERIOR MC 125 2021-2023;622;ATEN;KP+JA;73,46023306;181,4018;8050506053613;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540097020A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,94MM + KIT JUNTAS PARTE SUPERIOR KTM SX125 '23-24;622;ATEN;KP+JA;73,46023306;181,4018;8050506053620;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540097020B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,95MM + KIT JUNTAS PARTE SUPERIOR KTM SX125 '23-24;622;ATEN;KP+JA;73,46023306;181,4018;8050506053637;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540097020C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,96MM + KIT JUNTAS PARTE SUPERIOR KTM SX125 '23-24;622;ATEN;KP+JA;73,46023306;181,4018;8050506053644;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540097020D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,97MM + KIT JUNTAS PARTE SUPERIOR KTM SX125 '23-24;622;ATEN;KP+JA;59,87880992;147,864;8053300717781;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540118014A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,95 MM + KIT JUNTAS PARTE SUPERIOR YZ 125 2005-2021;622;ATEN;KP+JA;59,87880992;147,864;8053300717798;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540118014B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,96 MM + KIT JUNTAS PARTE SUPERIOR YZ 125 2005-2021;622;ATEN;KP+JA;59,87880992;147,864;8053300717804;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540118014C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,97 MM + KIT JUNTAS PARTE SUPERIOR YZ 125 2005-2021;622;ATEN;KP+JA;64,40430413;159,0392;8050506053651;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540271014A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,95MM + KIT JUNTAS PARTE SUPERIOR YAMAHA YZ125 '22-24;622;ATEN;KP+JA;64,40430413;159,0392;8050506053668;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540271014B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,96MM + KIT JUNTAS PARTE SUPERIOR YAMAHA YZ125 '22-24;622;ATEN;KP+JA;64,40430413;159,0392;8050506053675;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540271014C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2T Ø 53,97MM + KIT JUNTAS PARTE SUPERIOR YAMAHA YZ125 '22-24;622;ATEN;KP+JA;72,16088264;178,1932;8053300717545;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0664045001A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 66,34 MM + KIT JUNTAS PARTE SUPERIOR TC 250 2014-2016;622;ATEN;KP+JA;72,16088264;178,1932;8053300717552;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
